,title,type,issue,date
259,Remarks by President Trump During an Update on Operation Warp Speed,Remarks,Other,"Nov 13, 2020"
260,Statement from the Press Secretary,Statements & Releases,Foreign Policy,"Nov 13, 2020"
261,President Donald J. Trump Announces Judicial Nominees,Nominations & Appointments,Other,"Nov 13, 2020"
262,"Remarks by Vice President Pence at Young America’s Foundation’s Fall College Retreat and President’s Club Weekend Event | Arlington, VA",Remarks,Other,"Nov 13, 2020"
263,ONDCP Releases Data on Coca Cultivation and Cocaine Production in Bolivia,Statements & Releases,Other,"Nov 13, 2020"
264,Statement from National Security Advisor Robert C. O’Brien,Statements & Releases,Foreign Policy,"Nov 12, 2020"
265,Text of a Letter to the Speaker of the House of Representatives and the President of the Senate,Statements & Releases,Foreign Policy,"Nov 12, 2020"
266,Executive Order on Addressing the Threat from Securities Investments that Finance Communist Chinese Military Companies,Executive Orders,Foreign Policy,"Nov 12, 2020"
267,Text of a Letter to the Speaker of the House of Representatives and the President of the Senate,Statements & Releases,National Security & Defense,"Nov 12, 2020"
268,Text of a Notice on the Continuation of the National Emergency with Respect to the Proliferation of Weapons of Mass Destruction,Statements & Releases,National Security & Defense,"Nov 12, 2020"
269,Text of a Letter to the Speaker of the House of Representatives and the President of the Senate,Statements & Releases,Foreign Policy,"Nov 12, 2020"
270,Text of a Notice on the Continuation of the National Emergency with Respect to Burundi,Statements & Releases,Foreign Policy,"Nov 12, 2020"
271,Text of a Letter to the Speaker of the House of Representatives and the President of the Senate,Statements & Releases,Foreign Policy,"Nov 12, 2020"
272,Text of a Notice on the Continuation of the National Emergency with Respect to Iran,Other,Foreign Policy,"Nov 12, 2020"
273,President Donald J. Trump Approves Florida Emergency Declaration,Statements & Releases,Land & Agriculture,"Nov 11, 2020"
274,Statement from National Security Advisor Robert C. O’Brien,Statements & Releases,Foreign Policy,"Nov 11, 2020"
275,"Proclamation on Veterans Day, 2020",Proclamations,Veterans,"Nov 11, 2020"
276,Presidential Message on the 245th Birthday of the United States Marine Corps,Statements & Releases,Other,"Nov 10, 2020"
277,Administration Issues Joint Strategic Plan on Intellectual Property,Statements & Releases,Other,"Nov 9, 2020"
278,Memorandum on the Delegation of Authority for FY 2021 Cost Estimates and Annual Reports for the LWCF,Presidential Memoranda,Land & Agriculture,"Nov 9, 2020"
279,Presidential Message on the National Day for the Victims of Communism,Statements & Releases,Law & Justice,"Nov 7, 2020"
280,"Proclamation on World Freedom Day, 2020",Statements & Releases,Law & Justice,"Nov 6, 2020"
281,"Proclamation on National Apprenticeship Week, 2020",Statements & Releases,Economy & Jobs,"Nov 6, 2020"
282,Remarks by President Trump on the Election,Remarks,Other,"Nov 5, 2020"
283,President Donald J. Trump Approves Puerto Rico Disaster Declaration,Statements & Releases,Land & Agriculture,"Nov 5, 2020"
284,President Trump Announces Presidential Delegation to Plurinational State of Bolivia to Attend the Inauguration of His Excellency Luis Arce Catacora,Statements & Releases,Foreign Policy,"Nov 5, 2020"
285,"Remarks by President Trump After Air Force One Arrival | Milwaukee, WI",Remarks,Other,"Nov 2, 2020"
286,2021-2022 White House Fellowship,Statements & Releases,Other,"Nov 2, 2020"
287,President Donald J. Trump Is Protecting America’s Founding Ideals by Promoting Patriotic Education,Fact Sheets,Education,"Nov 2, 2020"
288,Executive Order on Establishing the President’s Advisory 1776 Commission,Executive Orders,Education,"Nov 2, 2020"
289,American Dream Plan,Statements & Releases,Other,"Nov 2, 2020"
290,Text of a Letter to the Speaker of the House of Representatives and the President of the Senate,Statements & Releases,Foreign Policy,"Nov 2, 2020"
291,Text of a Notice on the Continuation of the National Emergency with Respect to Sudan,Statements & Releases,Foreign Policy,"Nov 2, 2020"
292,"Presidential Message on National Veterans Small Business Week, 2020",Statements & Releases,Veterans,"Nov 2, 2020"
293,President Trump on China:  Putting America First,Statements & Releases,Foreign Policy,"Nov 2, 2020"
294,"Remarks by President Trump After Air Force One Arrival | Charlotte, NC",Remarks,Other,"Nov 1, 2020"
295,Text of a Letter from the President to the Speaker of the House of Representatives and the President pro tempore of the Senate,Statements & Releases,National Security & Defense,"Nov 1, 2020"
296,"Presidential Message on Alzheimer’s Awareness Month, 2020",Statements & Releases,Healthcare,"Nov 1, 2020"
297,"Presidential Message on National Diabetes Month, 2020",Statements & Releases,Healthcare,"Nov 1, 2020"
298,"President Donald J. Trump Is Supporting Hydraulic Fracturing and Other Technologies to Protect Our Jobs, Economic Opportunity, and National Security",Fact Sheets,Economy & Jobs,"Oct 31, 2020"
299,"Memorandum on Protecting Jobs, Economic Opportunities, and National Security for All Americans",Presidential Memoranda,Economy & Jobs,"Oct 31, 2020"
300,Statement From the President On Last Night’s Hostage Rescue,Statements & Releases,National Security & Defense,"Oct 31, 2020"
301,"Remarks by President Trump Before Air Force One Departure | Joint Base Andrews, MD",Remarks,Other,"Oct 31, 2020"
302,"Melania Trump, Jim Carroll: Partnering to Help America’s Children Live Their Best, Drug-Free Lives",Other,Healthcare,"Oct 31, 2020"
303,"Proclamation on National American History and Founders Month, 2020",Proclamations,Other,"Oct 30, 2020"
304,"Proclamation on National Day of Remembrance for Americans Killed by Illegal Aliens, 2020",Proclamations,Law & Justice,"Oct 30, 2020"
305,Bill Announcement,Statements & Releases,Other,"Oct 30, 2020"
306,"Proclamation on National Family Caregivers Month, 2020",Proclamations,Other,"Oct 30, 2020"
307,"Proclamation on National Adoption Month, 2020",Proclamations,Law & Justice,"Oct 30, 2020"
308,"Proclamation on National Veterans and Military Families Month, 2020",Proclamations,Veterans,"Oct 30, 2020"
309,"Proclamation on National Native American Heritage Month, 2020",Proclamations,Other,"Oct 30, 2020"
310,"Remarks by President Trump After Air Force One Arrival | Green Bay, WI",Remarks,Other,"Oct 30, 2020"
311,"Proclamation on National Entrepreneurship Month, 2020",Proclamations,Economy & Jobs,"Oct 30, 2020"
312,"Proclamation on Critical Infrastructure Security and Resilience Month, 2020",Proclamations,Infrastructure & Technology,"Oct 30, 2020"
313,Donald Trump Fought the Establishment—and Won,Other,Other,"Oct 30, 2020"
314,President Trump: America’s Seniors Will Pay the Bill for a Democrat-Socialist Agenda,Other,Healthcare,"Oct 30, 2020"
315,The Trump Doctrine: Terrorists Lose and Peace Wins,Other,Foreign Policy,"Oct 30, 2020"
316,The Fastest Recovery in History,Other,Economy & Jobs,"Oct 30, 2020"
317,"Put the American People First, Not China",Other,Foreign Policy,"Oct 30, 2020"
318,UPDATE: New Border Wall Reaches 400 Miles,Other,Immigration,"Oct 30, 2020"
319,The Blue-Collar Presidency,Other,Economy & Jobs,"Oct 30, 2020"
320,Text of a Letter to the Speaker of the House of Representatives and the President of the Senate,Statements & Releases,Foreign Policy,"Oct 30, 2020"
321,Proclamation to Modify Duty-Free Treatment Under the Generalized System of Preferences and for Other Purposes,Proclamations,Foreign Policy,"Oct 30, 2020"
322,Statement by the President,Statements & Releases,Other,"Oct 30, 2020"
323,Bill Announcement,Statements & Releases,Other,"Oct 30, 2020"
324,U.S. Economic Strength Weathers All Storms,Other,Economy & Jobs,"Oct 30, 2020"
325,Remarks by President Trump Before Marine One Departure,Remarks,Other,"Oct 30, 2020"
326,Two Nominations Sent to the Senate,Nominations & Appointments,Other,"Oct 30, 2020"
327,Press Gaggle by Press Secretary Kayleigh McEnany Aboard Air Force One,Press Briefings,Other,"Oct 30, 2020"
328,"Trump Administration Announces Second Phase of FY 2020 Drug-Free Communities Grant Awards, Continuing Commitment to Substance Use Prevention",Statements & Releases,Healthcare,"Oct 30, 2020"
329,Statement from National Security Advisor Robert C. O’Brien on the 20th Anniversary of UNSCR 1325,Statements & Releases,National Security & Defense,"Oct 30, 2020"
330,President Donald J. Trump Amends Louisiana Disaster Declaration,Statements & Releases,Land & Agriculture,"Oct 29, 2020"
331,Statement from the Press Secretary on the Record-Breaking Q3 GDP Report,Statements & Releases,Economy & Jobs,"Oct 29, 2020"
332,White House Appoints 2020-2021 Class of White House Fellows,Statements & Releases,Other,"Oct 29, 2020"
333,NEW: Economic Comeback Under President Trump Breaks 70-Year Record,Other,Economy & Jobs,"Oct 29, 2020"
334,Statement from the Press Secretary on Price Transparency for Medical Services and Prescription Drugs,Statements & Releases,Healthcare,"Oct 29, 2020"
335,The Great American Recovery: Third Quarter GDP Blows Past Expectations,Other,Economy & Jobs,"Oct 29, 2020"
336,President Donald J. Trump Approves Mississippi Emergency Declaration,Statements & Releases,Land & Agriculture,"Oct 28, 2020"
337,Readout of Senior Trump Administration Government to Government Meeting with Navajo Nation,Statements & Releases,Other,"Oct 28, 2020"
338,President Donald J. Trump Announces Intent to Nominate Individuals to Key Administration Posts,Nominations & Appointments,Other,"Oct 28, 2020"
339,Statement from the Press Secretary,Statements & Releases,Law & Justice,"Oct 28, 2020"
340,Presidential Determination on Refugee Admissions for Fiscal Year 2021,Presidential Memoranda,Immigration,"Oct 28, 2020"
341,President Donald J. Trump Approves Louisiana Emergency Declaration,Statements & Releases,Land & Agriculture,"Oct 27, 2020"
342,President Trump’s Coronavirus Response Has Saved Over 2 Million Lives and Outperformed Other Nations,Fact Sheets,Healthcare,"Oct 27, 2020"
343,"Remarks by President Trump Before Air Force One Departure | Joint Base Andrews, MD",Remarks,Other,"Oct 27, 2020"
344,President Trump Takes Action to Modernize America’s Water Resource Management and Infrastructure,Other,Energy & Environment,"Oct 27, 2020"
345,Remarks by President Trump Before Marine One Departure,Remarks,Other,"Oct 27, 2020"
346,Proclamation on Adjusting Imports of Aluminum Into the United States,Proclamations,Economy & Jobs,"Oct 27, 2020"
347,Remarks by President Trump at Swearing-In Ceremony of the Honorable Amy Coney Barrett as Associate Justice of the Supreme Court of the United States,Remarks,Law & Justice,"Oct 26, 2020"
348,Senate Confirms Amy Coney Barrett for Supreme Court,Other,Law & Justice,"Oct 26, 2020"
349,One Nomination and One Withdrawal Sent to the Senate,Nominations & Appointments,Other,"Oct 26, 2020"
350,Text of a Letter from the President to Certain Congressional Committees,Statements & Releases,Foreign Policy,"Oct 26, 2020"
351,"Certification Pursuant to Section 6(e) of the Comprehensive Peace in Sudan Act of 2004, as Amended by the Darfur Peace and Accountability Act of 2006",Presidential Memoranda,Foreign Policy,"Oct 26, 2020"
352,Text of a Letter from the President to the Speaker of the House and Certain Congressional Committees,Statements & Releases,Foreign Policy,"Oct 26, 2020"
353,Certification of Rescission of the Determination regarding the Government of Sudan,Presidential Memoranda,Foreign Policy,"Oct 26, 2020"
354,"Remarks by President Trump After Air Force One Arrival | Allentown, PA",Remarks,Other,"Oct 26, 2020"
355,President Trump’s Q&A with Religion News Service,Other,Other,"Oct 26, 2020"
356,"Remarks by President Trump After Air Force One Arrival | Columbus, OH",Remarks,Other,"Oct 24, 2020"
357,"Proclamation on United Nations Day, 2020",Proclamations,Foreign Policy,"Oct 23, 2020"
358,Remarks by President Trump Announcing Normalization of Relations Between Sudan and Israel,Remarks,Foreign Policy,"Oct 23, 2020"
359,Statement from National Security Advisor Robert C. O’Brien,Statements & Releases,Foreign Policy,"Oct 23, 2020"
360,President Donald J. Trump Brokers a Historic Peace Agreement Between Israel and Sudan,Fact Sheets,Foreign Policy,"Oct 23, 2020"
361,Two Nominations Sent to the Senate,Nominations & Appointments,Other,"Oct 23, 2020"
362,"Joint Statement of the United States, the Republic of Sudan, and the State of Israel",Statements & Releases,Foreign Policy,"Oct 23, 2020"
363,Text of a Letter to the Speaker of the House of Representatives and the President of the Senate,Statements & Releases,Foreign Policy,"Oct 23, 2020"
364,Text of a Notice on the Continuation of the National Emergency with Respect to the Democratic Republic of the Congo,Statements & Releases,Foreign Policy,"Oct 23, 2020"
365,Statement from the Press Secretary on Sudan,Statements & Releases,Foreign Policy,"Oct 23, 2020"
366,First Lady Melania Trump Announces Halloween at the White House,Statements & Releases,Other,"Oct 23, 2020"
